itm_no_item|INVALID ITEM{***}
itm_gold_tourney_armor_pl|白色上衣
itm_red_tourney_helmet|帽子
itm_red_tourney_helmet_pl|帽子
itm_blue_tourney_helmet|帽子
itm_blue_tourney_helmet_pl|帽子
itm_green_tourney_helmet|帽子
itm_green_tourney_helmet_pl|帽子
itm_gold_tourney_helmet|帽子
itm_gold_tourney_helmet_pl|帽子
itm_arena_shield_red|轻圆盾
itm_arena_shield_red_pl|轻圆盾
itm_arena_shield_blue|轻圆盾
itm_arena_shield_blue_pl|轻圆盾
itm_arena_shield_green|轻圆盾
itm_arena_shield_green_pl|轻圆盾
itm_arena_shield_yellow|轻圆盾
itm_arena_shield_yellow_pl|轻圆盾
itm_arena_armor_white|白色上衣
itm_arena_armor_white_pl|白色上衣
itm_arena_armor_red|红色上衣
itm_arena_armor_red_pl|红色上衣
itm_arena_armor_blue|蓝色上衣
itm_arena_armor_blue_pl|蓝色上衣
itm_arena_armor_green|绿色上衣
itm_arena_armor_green_pl|绿色上衣
itm_arena_armor_yellow|黄色上衣
itm_arena_armor_yellow_pl|黄色上衣
itm_arena_tunic_white|白色上衣
itm_arena_tunic_white_pl|白色上衣
itm_arena_tunic_red|红色上衣
itm_arena_tunic_red_pl|红色上衣
itm_arena_tunic_blue|蓝色上衣
itm_arena_tunic_blue_pl|蓝色上衣
itm_arena_tunic_green|绿色上衣
itm_arena_tunic_green_pl|绿色上衣
itm_arena_tunic_yellow|黄色上衣
itm_arena_tunic_yellow_pl|黄色上衣
itm_arena_helmet_red|护鼻盔
itm_arena_helmet_red_pl|护鼻盔
itm_arena_helmet_blue|护鼻盔
itm_arena_helmet_blue_pl|护鼻盔
itm_arena_helmet_green|护鼻盔
itm_arena_helmet_green_pl|护鼻盔
itm_arena_helmet_yellow|护鼻盔
itm_arena_helmet_yellow_pl|护鼻盔
itm_steppe_helmet_white|护鼻盔
itm_steppe_helmet_white_pl|护鼻盔
itm_steppe_helmet_red|护鼻盔
itm_steppe_helmet_red_pl|护鼻盔
itm_steppe_helmet_blue|护鼻盔
itm_steppe_helmet_blue_pl|护鼻盔
itm_steppe_helmet_green|护鼻盔
itm_steppe_helmet_green_pl|护鼻盔
itm_steppe_helmet_yellow|护鼻盔
itm_steppe_helmet_yellow_pl|护鼻盔
itm_tourney_helm_white|护鼻盔
itm_tourney_helm_white_pl|护鼻盔
itm_tourney_helm_red|护鼻盔
itm_tourney_helm_red_pl|护鼻盔
itm_tourney_helm_blue|护鼻盔
itm_tourney_helm_blue_pl|护鼻盔
itm_tourney_helm_green|护鼻盔
itm_tourney_helm_green_pl|护鼻盔
itm_tourney_helm_yellow|护鼻盔
itm_tourney_helm_yellow_pl|护鼻盔
itm_arena_turban_red|帽子
itm_arena_turban_red_pl|帽子
itm_arena_turban_blue|帽子
itm_arena_turban_blue_pl|帽子
itm_arena_turban_green|帽子
itm_arena_turban_green_pl|帽子
itm_arena_turban_yellow|帽子
itm_arena_turban_yellow_pl|帽子
itm_book_tactics|伯罗奔尼撒战争史
itm_book_tactics_pl|伯罗奔尼撒战争史
itm_book_persuasion|修辞学
itm_book_persuasion_pl|修辞学
itm_book_leadership|亚历山大大帝传记
itm_book_leadership_pl|亚历山大大帝传记
itm_book_intelligence|派代亚的希腊古典教育学
itm_book_intelligence_pl|派代亚的希腊古典教育学
itm_book_trade|亚里士多德的经济论
itm_book_trade_pl|亚里士多德的经济论
itm_book_weapon_mastery|色诺芬的斯巴达政体论
itm_book_weapon_mastery_pl|色诺芬的斯巴达政体论
itm_book_engineering|维特鲁威的建筑学
itm_book_engineering_pl|维特鲁威的建筑学
itm_book_wound_treatment_reference|迪奥斯科里季斯的药物学
itm_book_wound_treatment_reference_pl|迪奥斯科里季斯的药物学
itm_book_training_reference|兵法简述
itm_book_training_reference_pl|兵法简述
itm_book_surgery_reference|古希腊医学大纲
itm_book_surgery_reference_pl|古希腊医学大纲
itm_relic|科伦西尔之经
itm_relic_pl|科伦西尔之经
itm_mead|蜂蜜酒
itm_mead_pl|蜂蜜酒
itm_salt|盐
itm_salt_pl|盐
itm_tar|柏油
itm_tar_pl|柏油
itm_jewelry|珠宝
itm_jewelry_pl|珠宝
itm_raw_flax|亚麻捆
itm_raw_flax_pl|亚麻捆
itm_linen|亚麻布
itm_linen_pl|亚麻布
itm_wool|羊毛
itm_wool_pl|羊毛
itm_vc_wool_cloth|羊毛布
itm_vc_wool_cloth_pl|羊毛布
itm_amber|琥珀
itm_amber_pl|琥珀
itm_ivory|海象象牙
itm_ivory_pl|海象象牙
itm_silver|银
itm_silver_pl|银
itm_iron|生铁
itm_iron_pl|生铁
itm_stone|矿石
itm_stone_pl|nan
itm_tools|工具
itm_tools_pl|工具
itm_vc_raw_leather|兽皮
itm_vc_raw_leather_pl|兽皮
itm_timber|木材
itm_timber_pl|木材
itm_soapstone|皂石
itm_soapstone_pl|皂石
itm_vc_furs|毛皮
itm_vc_furs_pl|毛皮
itm_wine|葡萄酒
itm_wine_pl|葡萄酒
itm_ale|麦芽酒
itm_ale_pl|麦芽酒
itm_smoked_fish|熏鱼
itm_smoked_fish_pl|熏鱼
itm_cheese|奶酪
itm_cheese_pl|奶酪
itm_vc_honey|蜂蜜
itm_vc_honey_pl|蜂蜜
itm_sausages|腊肠
itm_sausages_pl|腊肠
itm_cabbages|蔬菜
itm_cabbages_pl|蔬菜
itm_dried_meat|风干肉
itm_dried_meat_pl|风干肉
itm_apples|苹果
itm_apples_pl|苹果
itm_barley|大麦
itm_barley_pl|大麦
itm_venison|野猪肉
itm_venison_pl|野猪肉
itm_grain|小麦
itm_grain_pl|小麦
itm_cattle_meat|牛肉
itm_cattle_meat_pl|牛肉
itm_bread|面包
itm_bread_pl|面包
itm_chicken|鸡肉
itm_chicken_pl|鸡肉
itm_pork|猪肉
itm_pork_pl|猪肉
itm_butter|奶油
itm_butter_pl|奶油
itm_siege_supply|补给品
itm_siege_supply_pl|补给品
itm_quest_wine|葡萄酒
itm_quest_wine_pl|葡萄酒
itm_quest_ale|麦芽酒
itm_quest_ale_pl|麦芽酒
itm_common_horse|马
itm_common_horse_pl|马
itm_common_horse2|马
itm_common_horse2_pl|马
itm_common_pony|矮种马
itm_common_pony_pl|矮种马
itm_common_pony2|矮种马
itm_common_pony2_pl|矮种马
itm_wild_horse|野生马
itm_wild_horse_pl|野生马
itm_wild_horse2|野生马
itm_wild_horse2_pl|野生马
itm_wild_pony|野生矮种马
itm_wild_pony_pl|野生矮种马
itm_wild_pony2|野生矮种马
itm_wild_pony2_pl|野生矮种马
itm_cow1|牛
itm_cow1_pl|牛
itm_cow2|牛
itm_cow2_pl|牛
itm_arrows|箭
itm_arrows_pl|箭
itm_khergit_arrows|锋利的箭
itm_khergit_arrows_pl|锋利的箭
itm_barbed_arrows|倒刺箭
itm_barbed_arrows_pl|倒刺箭
itm_bodkin_arrows|锥头箭
itm_bodkin_arrows_pl|锥头箭
itm_bolts|弩箭
itm_bolts_pl|弩箭
itm_bolts2|锋利的弩箭
itm_bolts2_pl|锋利的弩箭
itm_bolts3|倒刺弩箭
itm_bolts3_pl|倒刺弩箭
itm_bolts4|锥头弩箭
itm_bolts4_pl|锥头弩箭
itm_pilgrim_disguise|朝圣者服
itm_pilgrim_disguise_pl|朝圣者服
itm_pilgrim_hood|朝圣者风帽
itm_pilgrim_hood_pl|朝圣者风帽
itm_leather_gloves|皮手套
itm_leather_gloves_pl|皮手套
itm_carbatinae_1|皮鞋
itm_carbatinae_1_pl|皮鞋
itm_carbatinae_2|绑腿
itm_carbatinae_2_pl|绑腿
itm_carbatinae_3|皮鞋
itm_carbatinae_3_pl|皮鞋
itm_carbatinae_4|皮鞋
itm_carbatinae_4_pl|皮鞋
itm_carbatinae_5|绑腿
itm_carbatinae_5_pl|绑腿
itm_carbatinae_6|皮鞋
itm_carbatinae_6_pl|皮鞋
itm_carbatinae_7|绑腿
itm_carbatinae_7_pl|绑腿
itm_carbatinae_8|皮鞋
itm_carbatinae_8_pl|皮鞋
itm_carbatinae_9|绑腿
itm_carbatinae_9_pl|绑腿
itm_carbatinae_10|皮鞋
itm_carbatinae_10_pl|皮鞋
itm_carbatinae_vc1|短统靴
itm_carbatinae_vc1_pl|短统靴
itm_carbatinae_vc2|短统靴
itm_carbatinae_vc2_pl|短统靴
itm_carbatinae_vc3|短统靴
itm_carbatinae_vc3_pl|短统靴
itm_carbatinae_vc4|优质绑腿
itm_carbatinae_vc4_pl|优质绑腿
itm_carbatinae_vc5|短统靴
itm_carbatinae_vc5_pl|短统靴
itm_carbatinae_vc6|短统靴
itm_carbatinae_vc6_pl|短统靴
itm_carbatinae_1s|皮鞋
itm_carbatinae_1s_pl|皮鞋
itm_carbatinae_2s|绑腿
itm_carbatinae_2s_pl|绑腿
itm_carbatinae_3s|绑腿
itm_carbatinae_3s_pl|绑腿
itm_carbatinae_4s|生皮鞋
itm_carbatinae_4s_pl|生皮鞋
itm_carbatinae_5s|生皮鞋
itm_carbatinae_5s_pl|生皮鞋
itm_carbatinae_6s|短统靴
itm_carbatinae_6s_pl|短统靴
itm_carbatinae_vc1s|优质绑腿
itm_carbatinae_vc1s_pl|优质绑腿
itm_carbatinae_vc2s|短统靴
itm_carbatinae_vc2s_pl|短统靴
itm_carbatinae_vc3s|优质绑腿
itm_carbatinae_vc3s_pl|优质绑腿
itm_carbatinae_vc4s|绑腿
itm_carbatinae_vc4s_pl|绑腿
itm_carbatinae_1v|短统靴
itm_carbatinae_1v_pl|短统靴
itm_carbatinae_2v|绑腿靴
itm_carbatinae_2v_pl|绑腿靴
itm_carbatinae_3v|绑腿
itm_carbatinae_3v_pl|绑腿
itm_carbatinae_4v|优质绑腿
itm_carbatinae_4v_pl|优质绑腿
itm_carbatinae_5v|生皮鞋
itm_carbatinae_5v_pl|生皮鞋
itm_carbatinae_6v|绑腿靴
itm_carbatinae_6v_pl|绑腿靴
itm_carbatinae_vc1v|短统靴
itm_carbatinae_vc1v_pl|短统靴
itm_carbatinae_vc2v|优质绑腿
itm_carbatinae_vc2v_pl|优质绑腿
itm_carbatinae_11q|皮鞋
itm_carbatinae_11q_pl|皮鞋
itm_carbatinae_12q|皮鞋
itm_carbatinae_12q_pl|皮鞋
itm_carbatinae_11qs|优质绑腿靴
itm_carbatinae_11qs_pl|优质绑腿靴
itm_carbatinae_12qs|优质绑腿靴
itm_carbatinae_12qs_pl|优质绑腿靴
itm_carbatinae_13qs|优质绑腿靴
itm_carbatinae_13qs_pl|优质绑腿靴
itm_carbatinae_14qs|优质绑腿
itm_carbatinae_14qs_pl|优质绑腿
itm_carbatinae_14qv|优质绑腿靴
itm_carbatinae_14qv_pl|优质绑腿靴
itm_bare_foot_man|穷人鞋
itm_bare_foot_man_pl|穷人鞋
itm_just_man_boots_medium|生皮鞋
itm_just_man_boots_medium_pl|生皮鞋
itm_just_man_boots_light|光亮短统靴
itm_just_man_boots_light_pl|光亮短统靴
itm_just_man_shoes|皮鞋
itm_just_man_shoes_pl|皮鞋
itm_just_man_boots_dark|光亮短统靴
itm_just_man_boots_dark_pl|光亮短统靴
itm_gaelshoes_1|戈伊德尔鞋
itm_gaelshoes_1_pl|戈伊德尔鞋
itm_gaelshoes_2|戈伊德尔鞋
itm_gaelshoes_2_pl|戈伊德尔鞋
itm_gaelshoes_3|戈伊德尔靴
itm_gaelshoes_3_pl|戈伊德尔靴
itm_womenshoes_1|单鞋
itm_womenshoes_1_pl|单鞋
itm_womenshoes_2|短统单靴
itm_womenshoes_2_pl|短统单靴
itm_womenshoes_3|单鞋
itm_womenshoes_3_pl|单鞋
itm_womenshoes_4|短统单靴
itm_womenshoes_4_pl|短统单靴
itm_womenshoes_5|单鞋
itm_womenshoes_5_pl|单鞋
itm_womenshoes_6|短统单靴
itm_womenshoes_6_pl|短统单靴
itm_womenshoes_7|单鞋
itm_womenshoes_7_pl|单鞋
itm_womenshoes_8|单鞋
itm_womenshoes_8_pl|单鞋
itm_long_tunic1|弗里斯轻甲
itm_long_tunic1_pl|弗里斯轻甲
itm_nobleman_outfit|撒克逊轻甲
itm_nobleman_outfit_pl|撒克逊轻甲
itm_troll_tunic|山妖的外衣
itm_troll_tunic_pl|山妖的外衣
itm_priest1|牧师长袍
itm_priest1_pl|牧师长袍
itm_priest2|牧师长袍
itm_priest2_pl|牧师长袍
itm_robe|僧袍
itm_robe_pl|僧袍
itm_robe2|僧袍
itm_robe2_pl|僧袍
itm_robe3|僧袍
itm_robe3_pl|僧袍
itm_robe4|僧袍
itm_robe4_pl|僧袍
itm_robe5|僧袍
itm_robe5_pl|僧袍
itm_robe6|僧袍
itm_robe6_pl|僧袍
itm_robe7|僧袍
itm_robe7_pl|僧袍
itm_robe8|僧袍
itm_robe8_pl|僧袍
itm_robe9|僧袍
itm_robe9_pl|僧袍
itm_robe10|僧袍
itm_robe10_pl|僧袍
itm_ptunic_1|简易盎格鲁上衣
itm_ptunic_1_pl|简易盎格鲁上衣
itm_ptunic_2|盎格鲁轻甲
itm_ptunic_2_pl|盎格鲁轻甲
itm_ptunic_3|盎格鲁上衣
itm_ptunic_3_pl|盎格鲁上衣
itm_ptunic_4|盎格鲁上衣
itm_ptunic_4_pl|盎格鲁上衣
itm_ptunic_5|简易盎格鲁上衣
itm_ptunic_5_pl|简易盎格鲁上衣
itm_ptunic_6|盎格鲁上衣
itm_ptunic_6_pl|盎格鲁上衣
itm_ptunic_7|盎格鲁衬里上衣
itm_ptunic_7_pl|盎格鲁衬里上衣
itm_ptunic_8|盎格鲁衬里上衣
itm_ptunic_8_pl|盎格鲁衬里上衣
itm_ptunic_9|盎格鲁轻甲
itm_ptunic_9_pl|盎格鲁轻甲
itm_ptunic_10|盎格鲁上衣
itm_ptunic_10_pl|盎格鲁上衣
itm_ptunic_11|盎格鲁上衣
itm_ptunic_11_pl|盎格鲁上衣
itm_ptunic_12|盎格鲁轻甲
itm_ptunic_12_pl|盎格鲁轻甲
itm_btunic_1|披风
itm_btunic_1_pl|披风
itm_btunic_2|裤子
itm_btunic_2_pl|裤子
itm_btunic_3|诺尔斯上衣
itm_btunic_3_pl|诺尔斯上衣
itm_btunic_4|诺尔斯上衣
itm_btunic_4_pl|诺尔斯上衣
itm_btunic_5|诺尔斯上衣
itm_btunic_5_pl|诺尔斯上衣
itm_btunic_6|诺尔斯上衣
itm_btunic_6_pl|诺尔斯上衣
itm_btunic_7|诺尔斯上衣
itm_btunic_7_pl|诺尔斯上衣
itm_btunic_8|简易诺尔斯上衣
itm_btunic_8_pl|简易诺尔斯上衣
itm_btunic_9|简易诺尔斯上衣
itm_btunic_9_pl|简易诺尔斯上衣
itm_btunic_10|简易诺尔斯上衣
itm_btunic_10_pl|简易诺尔斯上衣
itm_btunic_11|诺尔斯上衣
itm_btunic_11_pl|诺尔斯上衣
itm_btunic_12|诺尔斯轻甲
itm_btunic_12_pl|诺尔斯轻甲
itm_btunic_13|诺尔斯上衣
itm_btunic_13_pl|诺尔斯上衣
itm_btunic_14|诺尔斯上衣
itm_btunic_14_pl|诺尔斯上衣
itm_btunic_15|诺尔斯轻甲
itm_btunic_15_pl|诺尔斯轻甲
itm_btunic_16|诺尔斯轻甲
itm_btunic_16_pl|诺尔斯轻甲
itm_hoodtunic_01|外衣
itm_hoodtunic_01_pl|外衣
itm_hoodtunic_02|外衣
itm_hoodtunic_02_pl|外衣
itm_hoodtunic_03|外衣
itm_hoodtunic_03_pl|外衣
itm_hoodtunic_04|外衣
itm_hoodtunic_04_pl|外衣
itm_hoodtunic_05|外衣
itm_hoodtunic_05_pl|外衣
itm_hoodtunic_06|外衣
itm_hoodtunic_06_pl|外衣
itm_hoodtunic_07|外衣
itm_hoodtunic_07_pl|外衣
itm_hoodtunic_08|斗篷
itm_hoodtunic_08_pl|斗篷
itm_bl_tunic01|华丽红色上衣
itm_bl_tunic01_pl|贵妇红色上衣
itm_bl_tunic02|撒克逊轻甲
itm_bl_tunic02_pl|撒克逊轻甲
itm_bl_tunic03|撒克逊轻甲
itm_bl_tunic03_pl|撒克逊轻甲
itm_bl_tunic04|简易撒克逊上衣
itm_bl_tunic04_pl|简易撒克逊上衣
itm_bl_tunic05|简易撒克逊上衣
itm_bl_tunic05_pl|简易撒克逊上衣
itm_bl_tunic06|撒克逊上衣
itm_bl_tunic06_pl|撒克逊上衣
itm_bl_tunic07|撒克逊上衣
itm_bl_tunic07_pl|撒克逊上衣
itm_bl_tunic08|撒克逊衬里上衣
itm_bl_tunic08_pl|撒克逊衬里上衣
itm_bl_tunic09|撒克逊轻甲
itm_bl_tunic09_pl|撒克逊轻甲
itm_bl_tunic10|撒克逊上衣
itm_bl_tunic10_pl|撒克逊上衣
itm_bl_tunic11|撒克逊上衣
itm_bl_tunic11_pl|撒克逊上衣
itm_bl_tunic12|撒克逊上衣
itm_bl_tunic12_pl|撒克逊上衣
itm_red_cloak|撒克逊带披风上衣
itm_red_cloak_pl|撒克逊带披风上衣
itm_yellow_cloak|弗里斯带披风上衣
itm_yellow_cloak_pl|弗里斯带披风上衣
itm_green_cloak|皮克特轻甲
itm_green_cloak_pl|皮克特轻甲
itm_blue_cloak|带披风上衣
itm_blue_cloak_pl|带披风上衣
itm_leather_cloak|带披风上衣
itm_leather_cloak_pl|带披风上衣
itm_yellow2_cloak|简易盎格鲁上衣
itm_yellow2_cloak_pl|简易盎格鲁上衣
itm_briton_tunic1|布立吞上衣
itm_briton_tunic1_pl|布立吞上衣
itm_briton_tunic2|布立吞上衣
itm_briton_tunic2_pl|布立吞上衣
itm_briton_tunic3|布立吞上衣
itm_briton_tunic3_pl|布立吞上衣
itm_briton_tunic4|简易布立吞上衣
itm_briton_tunic4_pl|简易布立吞上衣
itm_briton_tunic5|简易布立吞上衣
itm_briton_tunic5_pl|简易布立吞上衣
itm_briton_tunic6|简易布立吞上衣
itm_briton_tunic6_pl|简易布立吞上衣
itm_briton_tunic7|布立吞上衣
itm_briton_tunic7_pl|布立吞上衣
itm_briton_tunic8|布立吞轻甲
itm_briton_tunic8_pl|布立吞轻甲
itm_briton_tunic9|布立吞上衣
itm_briton_tunic9_pl|布立吞上衣
itm_briton_tunic10|布立吞上衣
itm_briton_tunic10_pl|布立吞上衣
itm_briton_tunic11|布立吞上衣
itm_briton_tunic11_pl|布立吞上衣
itm_briton_tunic12|布立吞上衣
itm_briton_tunic12_pl|布立吞上衣
itm_briton_tunic13|布立吞上衣
itm_briton_tunic13_pl|布立吞上衣
itm_briton_tunic14|布立吞上衣
itm_briton_tunic14_pl|布立吞上衣
itm_briton_tunic15|皮克特上衣
itm_briton_tunic15_pl|皮克特上衣
itm_briton_tunic16|皮克特上衣
itm_briton_tunic16_pl|皮克特上衣
itm_briton_tunic17|皮克特上衣
itm_briton_tunic17_pl|皮克特上衣
itm_briton_tunic18|皮克特上衣
itm_briton_tunic18_pl|皮克特上衣
itm_briton_tunic19|皮克特轻甲
itm_briton_tunic19_pl|皮克特轻甲
itm_briton_tunic20|戈伊德尔连帽上衣
itm_briton_tunic20_pl|戈伊德尔连帽上衣
itm_briton_tunic21|戈伊德尔连帽上衣
itm_briton_tunic21_pl|戈伊德尔连帽上衣
itm_briton_tunic22|戈伊德尔连帽上衣
itm_briton_tunic22_pl|戈伊德尔连帽上衣
itm_briton_tunic23|戈伊德尔连帽上衣
itm_briton_tunic23_pl|戈伊德尔连帽上衣
itm_briton_tunic24|戈伊德尔上衣
itm_briton_tunic24_pl|戈伊德尔上衣
itm_briton_tunic25|戈伊德尔上衣
itm_briton_tunic25_pl|戈伊德尔上衣
itm_briton_tunic26|戈伊德尔上衣
itm_briton_tunic26_pl|戈伊德尔上衣
itm_briton_tunic27|戈伊德尔上衣
itm_briton_tunic27_pl|戈伊德尔上衣
itm_briton_tunic28|戈伊德尔上衣
itm_briton_tunic28_pl|戈伊德尔上衣
itm_celta_capa1|戈伊德尔上衣
itm_celta_capa1_pl|戈伊德尔上衣
itm_celta_capa2|戈伊德尔长披风
itm_celta_capa2_pl|戈伊德尔长披风
itm_celta_capa3|戈伊德尔裤子
itm_celta_capa3_pl|戈伊德尔裤子
itm_celta_capa4|戈伊德尔裤子
itm_celta_capa4_pl|戈伊德尔裤子
itm_brat1|戈伊德尔华丽披风
itm_brat1_pl|戈伊德尔华丽披风
itm_brat2|戈伊德尔华丽披风
itm_brat2_pl|戈伊德尔华丽披风
itm_brat3|戈伊德尔轻甲
itm_brat3_pl|戈伊德尔轻甲
itm_brat4|戈伊德尔轻甲
itm_brat4_pl|戈伊德尔轻甲
itm_gael_tunic_01|皮克特上衣
itm_gael_tunic_01_pl|皮克特上衣
itm_gael_tunic_02|皮克特上衣
itm_gael_tunic_02_pl|皮克特上衣
itm_gael_tunic_03|盎格鲁上衣
itm_gael_tunic_03_pl|盎格鲁上衣
itm_gael_tunic_04|盎格鲁上衣
itm_gael_tunic_04_pl|盎格鲁上衣
itm_gael_tunic_05|带披风戈伊德尔上衣
itm_gael_tunic_05_pl|带披风戈伊德尔上衣
itm_gael_tunic_06|带披风戈伊德尔上衣
itm_gael_tunic_06_pl|带披风戈伊德尔上衣
itm_gael_tunic_07|戈伊德尔上衣
itm_gael_tunic_07_pl|戈伊德尔上衣
itm_gael_tunic_08|带兜帽戈伊德尔上衣
itm_gael_tunic_08_pl|带兜帽戈伊德尔上衣
itm_gael_hoodtunic_09|带兜帽戈伊德尔上衣
itm_gael_hoodtunic_09_pl|带兜帽戈伊德尔上衣
itm_gael_hoodtunic_10|带兜帽戈伊德尔上衣
itm_gael_hoodtunic_10_pl|带兜帽戈伊德尔上衣
itm_gael_hoodtunic_11|带兜帽戈伊德尔上衣
itm_gael_hoodtunic_11_pl|带兜帽戈伊德尔上衣
itm_gael_hoodtunic_12|带兜帽戈伊德尔轻甲
itm_gael_hoodtunic_12_pl|带兜帽戈伊德尔轻甲
itm_picts_tunic_09|诺尔斯裤子
itm_picts_tunic_09_pl|诺尔斯裤子
itm_picts_tunic_10|诺尔斯裤子
itm_picts_tunic_10_pl|诺尔斯裤子
itm_picts_tunic_11|诺尔斯披风
itm_picts_tunic_11_pl|诺尔斯披风
itm_picts_tunic_12|布立吞轻甲
itm_picts_tunic_12_pl|布立吞轻甲
itm_picts_tunic_13|布立吞上衣
itm_picts_tunic_13_pl|布立吞上衣
itm_picts_tunic_14|黄色皮克特上衣
itm_picts_tunic_14_pl|黄色皮克特上衣
itm_picts_tunic_15|白色皮克特上衣
itm_picts_tunic_15_pl|白色皮克特上衣
itm_picts_tunic_16|弗里斯裤子
itm_picts_tunic_16_pl|弗里斯裤子
itm_pictish_painted1|皮克特赤膊
itm_pictish_painted1_pl|皮克特赤膊
itm_pictish_painted2|皮克特赤膊
itm_pictish_painted2_pl|皮克特赤膊
itm_pictish_painted3|皮克特赤膊
itm_pictish_painted3_pl|皮克特赤膊
itm_pictish_painted4|皮克特赤膊
itm_pictish_painted4_pl|皮克特赤膊
itm_picts_hoodtunic_01|皮克特披风
itm_picts_hoodtunic_01_pl|皮克特披风
itm_picts_hoodtunic_02|皮克特披风
itm_picts_hoodtunic_02_pl|皮克特披风
itm_picts_hoodtunic_03|皮克特披风
itm_picts_hoodtunic_03_pl|皮克特披风
itm_picts_hoodtunic_04|皮克特披风
itm_picts_hoodtunic_04_pl|皮克特披风
itm_picts_hoodtunic_05|皮克特披风
itm_picts_hoodtunic_05_pl|皮克特披风
itm_picts_hoodtunic_06|皮克特披风
itm_picts_hoodtunic_06_pl|皮克特披风
itm_picts_hoodtunic_07|皮克特披风
itm_picts_hoodtunic_07_pl|皮克特披风
itm_picts_hoodtunic_11|皮克特帽兜上衣
itm_picts_hoodtunic_11_pl|皮克特帽兜上衣
itm_picts_hoodtunic_12|皮克特帽兜上衣
itm_picts_hoodtunic_12_pl|皮克特帽兜上衣
itm_picts_hoodtunic_13|皮克特帽兜上衣
itm_picts_hoodtunic_13_pl|皮克特帽兜上衣
itm_picts_hoodtunic_14|皮克特帽兜上衣
itm_picts_hoodtunic_14_pl|皮克特帽兜上衣
itm_picts_hoodtunic_15|皮克特帽兜上衣
itm_picts_hoodtunic_15_pl|皮克特帽兜上衣
itm_picts_hoodtunic_16|皮克特帽兜上衣
itm_picts_hoodtunic_16_pl|皮克特帽兜上衣
itm_picts_hoodtunic_17|皮克特帽兜上衣
itm_picts_hoodtunic_17_pl|皮克特帽兜上衣
itm_picts_hoodtunic_18|皮克特轻甲
itm_picts_hoodtunic_18_pl|皮克特轻甲
itm_linen_tunic|皮克特上衣
itm_linen_tunic_pl|皮克特上衣
itm_woman_saxon1|撒克逊长裙
