mno_choice_04_3no|要饭的？放狗！
menu_ship_capture|你成功俘获一艘敌舰，那是一艘{s2}，但“{s1}”在战斗中受损严重。你仍要将它编入舰队吗？
mno_capture|将船加入舰队
mno_leave_ship|弃船离开
menu_sandboxmode_ok|进入沙盒模式？
menu_start_sea_travel|你即将开始海上航行。
menu_mutiny_start|部分部队士气低落，他们发动了兵变。
menu_mutiny_end|兵变过后，局势逐渐平息。
menu_work_start|不久，单调的劳作让你的四肢酸痛，但你仍如约干了一整天。
menu_work_end|你满意地回顾这一天的诚实劳动，可看到工钱时，又觉得靠诚实劳动过活实在清苦。^^{s7}
menu_landing_point_encounter_as_marshal|你身为元帅，正尝试登陆。{s1} {s2}^^现在登陆还是再等等？
mno_disembark_yeslp|上岸。
mno_disembark_nolp|等等。
menu_landet_ships_encounter_as_marshal|你身为元帅，正尝试登船。{s1} {s2}^^现在登船还是再等等？
mno_reembark_yesls|拆除你的私人庇护所（500银便士）。
mno_reembark_nols|等等。
menu_hunting|等等。
mno_hunt_go|你遇到了{s1}。你想做什么？
menu_slave_hideout|你发现了一处贼窝。你想怎么做？
mno_not_now|现在不了。
mno_new_goal|选择新的目标。
menu_reconstruct_pre2049|这份存档似乎已被 v2.049 的漏洞破坏。我们建议从 savegame_backup.sav 或电脑备份中恢复。你是否仍想尝试重建存档？
mno_choice_yes|是，尝试重建存档。
mno_choice_no|否，我会寻找 v2.049 之前的存档。
